"NET_INCOME","OP_PROFIT_LOSS","TRANS_REV_PAX","PROP_FREIGHT","PROP_BAG","RES_CANCEL_FEES","MISC_OP_REV","TRANS_REVENUE","OP_REVENUES","FLYING_OPS","MAINTENANCE","PAX_SERVICE","AIRCFT_SERVICES","GENERAL_ADMIN","DEPREC_AMORT","TRANS_EXPENSES","OP_EXPENSES","INCOME_PRE_TAX","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","YEAR","QUARTER",
-89200.90,-118603.43,0.00,101887.97,0.00,0.00,8288.86,0.00,250687.25,83995.28,39121.43,6912.88,29269.05,193841.07,11503.23,119.04,369290.68,-116353.19,20007,"5Y","Atlas Air Inc.","Atlas Air Inc.","06087","D",2019,4,
-83894.23,-83894.23,947115.41,82993.04,48200.25,29498.80,109586.02,30065.65,1262688.06,521143.49,175548.70,129407.54,165144.29,199286.63,78848.37,5340.71,1346582.29,-83894.23,19805,"AA","American Airlines Inc.","American Airlines Inc.","10049","A",2019,4,
-79097.15,-79097.15,387789.23,40848.76,24159.58,15762.59,53660.62,14797.60,543736.24,237272.71,79270.74,62044.02,77397.26,95893.86,35870.21,2469.38,622833.39,-79097.15,19805,"AA","American Airlines Inc.","American Airlines Inc.","10052","P",2019,1,
-77492.99,-114359.28,0.00,71788.95,0.00,0.00,12967.17,0.00,84756.12,111959.12,40609.86,0.00,21826.59,9031.74,15324.99,0.00,199115.40,-115609.18,19917,"5X","United Parcel Service","United Parcel Service","16911","A",2019,3,
-77011.00,-103201.00,,104999.00,,,9879.00,169676.00,284586.00,36017.00,12855.00,,87522.00,31938.00,13971.00,196241.00,387787.00,-110974.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16195","L",2019,3,
-70317.11,-78662.88,1051126.01,107326.22,5931.28,20349.99,417.32,58118.22,1265503.84,521924.54,94686.33,170789.24,168228.55,152895.17,111684.52,26312.62,1344166.71,-94316.44,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","10877","P",2019,4,
-57302.49,-37041.73,0.00,148441.98,0.00,0.00,14581.64,0.00,354618.28,186920.16,81579.18,9477.60,44981.88,29091.19,32395.66,130.37,391660.00,-51278.19,20007,"5Y","Atlas Air Inc.","Atlas Air Inc.","16087","I",2019,1,
-38546.98,-43039.58,0.00,135386.97,0.00,0.00,10250.39,0.00,345402.89,189324.82,70305.39,12378.78,43901.85,35632.85,29994.47,185.41,388442.47,-53648.85,20007,"5Y","Atlas Air Inc.","Atlas Air Inc.","16087","I",2019,3,
-35746.50,-35746.60,81588.64,0.00,0.00,0.00,0.00,0.00,81588.64,46847.12,39614.06,6381.60,4218.41,19809.43,400.49,0.00,117335.24,-35746.50,20366,"EV","ExpressJet Airlines LLC d/b/a aha!","ExpressJet Airlines LLC","06085","D",2019,2,
-26889.75,-755.00,1048333.37,91881.60,37871.07,23620.95,274.26,60567.87,1280582.47,513419.63,93374.61,176228.52,178752.35,102519.34,105497.51,22734.05,1281337.46,-42368.03,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","10877","P",2019,1,
