year,quarter,month,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,region,carrier_name,service_class,rev_pax_enp_110,rev_pax_miles_140,rev_pax_miles_first,rev_ton_miles_240,rev_ton_miles_freight_247,rev_ton_miles_pax_241,avl_ton_miles_280,avl_seat_miles_320,avl_seat_miles_first,rev_acrft_miles_flown_410,rev_acrft_miles_sch_430,rev_acrft_dep_perf_510,rev_acrft_hrs_airborne_610
2019,3,8,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,362033,138321133,138321133,13832113,0,13832113,21282728,168770650,168770650,3375413,3477986,8925,9362
2019,3,9,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,340447,124009767,124009767,12400977,0,12400977,38146552,158284450,158284450,3165689,3280743,8774,8873
2019,4,10,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,372629,137279631,137279631,13727963,0,13727963,40226997,166917000,166917000,3338340,3364192,9122,9397
2019,4,11,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,317035,123721861,123721861,12372186,0,12372186,38140202,158258100,158258100,3165162,3294833,8204,8792
2019,4,12,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,352082,134246965,134246965,13424697,0,13424697,20312610,164331400,164331400,3286628,3319054,8720,9184
2019,1,1,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2371138,3387890700,3387890700,343136296,3026594,338789070,561289206,4405531402,4405531402,26939847,27008307,20457,59204
2019,1,2,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2214584,3084721144,3084721144,312006214,2522827,308472114,497110892,3899535462,3899535462,23777854,24496393,18286,52664
2019,1,3,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2769319,3931110995,3931110995,397797398,3165647,393111100,594191778,4658716398,4658716398,28453496,28157807,21526,62607
2019,2,4,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2722682,3907341795,3907341795,396777834,4261124,390734180,586582886,4596754521,4596754521,28218437,27549899,21243,61969
2019,2,5,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2948934,4234845050,4234845050,429908066,4787341,423484505,627992986,4923481703,4923481703,30065666,29375691,22559,65813
2019,2,6,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,3093008,4456381419,4456381419,452633830,5383492,445638142,641510802,5029209943,5029209943,30660750,30206086,23171,66746
2019,3,7,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,3268450,4674192504,4674192504,473069743,4494675,467419250,676267591,5291968593,5291968593,32275517,31608452,24593,69865
2019,3,8,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,3225419,4521240566,4521240566,458680474,5151636,452124057,667771610,5226288138,5226288138,31784342,31611294,24588,68967
2019,3,9,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2783453,3861503449,3861503449,391651589,4548939,386150345,592221449,4632705898,4632705898,28119515,27933859,21719,61137
